epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.155,1.50464,2.4176,2.02647,0.53592,0.44944,0.42263,0.16136,2.0816,3.27551,2.80421,0.00054845,0.00054845,0.00054845
2,459.609,1.54158,2.02689,2.0683,0.47384,0.41487,0.3418,0.10474,2.26262,3.22385,2.95199,0.0010859,0.0010859,0.0010859
3,669.906,1.58036,1.97073,2.07562,0.34618,0.45506,0.3694,0.09527,2.35595,3.15236,3.12637,0.00160501,0.00160501,0.00160501
4,875.949,1.60717,1.89937,2.10457,0.7093,0.61798,0.57791,0.27061,1.83971,2.14842,2.70802,0.00158448,0.00158448,0.00158448
5,1093.09,1.53321,1.81777,2.05039,0.82818,0.67416,0.71662,0.32621,1.77288,2.19106,2.5922,0.00155698,0.00155698,0.00155698
6,1298.18,1.50225,1.69651,2.00034,0.53744,0.35955,0.38306,0.12071,2.48693,2.59782,2.9882,0.00152947,0.00152947,0.00152947
7,1502.41,1.55205,1.72643,2.04434,0.69049,0.57303,0.62072,0.26702,1.92078,1.89341,2.61357,0.00150197,0.00150197,0.00150197
8,1707.67,1.51995,1.69663,2.02685,0.64105,0.56185,0.59676,0.27427,1.87106,1.95234,2.51179,0.00147446,0.00147446,0.00147446
9,1902.33,1.44815,1.63087,1.95987,0.78672,0.55953,0.65217,0.28933,1.93373,1.71867,2.50754,0.00144696,0.00144696,0.00144696
10,2106.35,1.44207,1.58928,1.96714,0.75826,0.56742,0.6588,0.32075,1.70969,1.83327,2.33016,0.00141945,0.00141945,0.00141945
11,2331.1,1.46861,1.57771,1.99421,0.66777,0.65169,0.6979,0.31863,1.75975,1.66833,2.41667,0.00139195,0.00139195,0.00139195
12,2561.24,1.41085,1.59666,1.94026,0.81496,0.66807,0.70476,0.34802,1.75607,1.57145,2.46779,0.00136444,0.00136444,0.00136444
13,2776.08,1.39304,1.45932,1.91727,0.70172,0.63439,0.66148,0.32159,1.76537,1.73288,2.37637,0.00133693,0.00133693,0.00133693
14,2983.71,1.43639,1.53386,1.95386,0.7953,0.61798,0.6802,0.35642,1.71221,1.61002,2.3214,0.00130943,0.00130943,0.00130943
15,3198.48,1.4101,1.53132,1.92607,0.78767,0.64045,0.70922,0.36355,1.65656,1.56363,2.29671,0.00128192,0.00128192,0.00128192
16,3405.5,1.40151,1.52783,1.92442,0.76511,0.65877,0.69475,0.36068,1.78527,1.43241,2.43173,0.00125442,0.00125442,0.00125442
