epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.629,1.38124,1.48078,1.90264,0.8754,0.63154,0.7348,0.38984,1.64294,1.43293,2.24561,0.00054845,0.00054845,0.00054845
2,422.901,1.37828,1.44829,1.91403,0.81769,0.65515,0.73898,0.3707,1.7399,1.40747,2.35805,0.00108954,0.00108954,0.00108954
3,636.51,1.40962,1.47494,1.92366,0.52749,0.51685,0.50327,0.15103,2.29501,1.99878,2.89288,0.00161597,0.00161597,0.00161597
4,829.544,1.43719,1.53109,1.9646,0.81364,0.60112,0.7121,0.35111,1.71501,1.97079,2.29878,0.00160099,0.00160099,0.00160099
5,1033.64,1.39899,1.48154,1.91653,0.8081,0.66241,0.70099,0.33878,1.91524,1.44162,2.68499,0.00157898,0.00157898,0.00157898
6,1244.58,1.43843,1.49209,1.94254,0.83194,0.63483,0.71243,0.36741,1.70026,1.71287,2.30367,0.00155698,0.00155698,0.00155698
7,1450.56,1.40651,1.49493,1.92989,0.76699,0.6573,0.71405,0.36313,1.77006,1.54971,2.44935,0.00153497,0.00153497,0.00153497
8,1651.59,1.39662,1.42338,1.9142,0.74044,0.60112,0.66534,0.31484,1.78346,1.62667,2.34143,0.00151297,0.00151297,0.00151297
9,1858.69,1.35745,1.42237,1.88665,0.68816,0.60674,0.67421,0.27589,1.9754,1.64269,2.50276,0.00149096,0.00149096,0.00149096
10,2069.64,1.34053,1.40818,1.88485,0.76037,0.6573,0.70311,0.34865,1.73496,1.61639,2.37499,0.00146896,0.00146896,0.00146896
11,2297.1,1.3867,1.38247,1.92057,0.82313,0.70591,0.77185,0.40564,1.5403,1.34125,2.13842,0.00144696,0.00144696,0.00144696
12,2536.81,1.30518,1.41652,1.84178,0.86809,0.6573,0.74069,0.40894,1.68328,1.26506,2.37189,0.00142495,0.00142495,0.00142495
13,2768.53,1.32813,1.33643,1.87122,0.72561,0.60914,0.67383,0.35978,1.65834,1.46609,2.24237,0.00140295,0.00140295,0.00140295
14,2989.97,1.34913,1.39342,1.89988,0.83792,0.69703,0.7354,0.40589,1.59441,1.24262,2.21511,0.00138094,0.00138094,0.00138094
15,3205.59,1.34572,1.39957,1.88654,0.81991,0.67416,0.76406,0.41903,1.59231,1.32663,2.17165,0.00135894,0.00135894,0.00135894
16,3421.36,1.31602,1.39128,1.85655,0.65478,0.50083,0.56726,0.27031,2.01877,1.83118,2.53626,0.00133693,0.00133693,0.00133693
